PRODUCT_ID,PRODUCT_NAME,PRODUCT_NUMBER,CATEGORY_ID,SUPPLIER_ID,DESCRIPTION,COLOR,SIZE,WEIGHT,UNIT_PRICE,COST,LIST_PRICE,DISCONTINUED,REORDER_LEVEL,UNITS_IN_STOCK,UNITS_ON_ORDER,PRODUCT_LINE,CLASS,STYLE
25,Reduced bi-directional budgetary management,P000025,3,176,But center energy Congress back suddenly tree debate. Make against available where. Decision information threat plant.,Brown,S,4.65,314.43,159.71,377.93,True,32,98,95,Economy,A,Classic
26,Distributed didactic hierarchy,P000026,2,106,"Ahead catch base reality call. Loss well give necessary family.
Mention hundred cover common reach thought. Which bill soldier onto close. West maintain third interest section.",Silver,One Size,43.42,691.7,295.3,852.08,False,23,614,39,Economy,A,Modern
27,Compatible didactic protocol,P000027,6,143,Certain fire act read response degree. Somebody together no history own money bill. Respond watch space provide off.,Silver,S,38.15,181.4,81.59,261.02,False,32,865,71,Standard,C,Vintage
28,Persistent executive capacity,P000028,6,90,"Time truth although. Attorney believe sort. Ever send hundred news finish.
Hotel recent lawyer. Successful visit bill difference. Catch year technology. Difficult because right speech staff Mr.",Red,M,43.51,36.92,19.33,51.87,False,30,71,18,Standard,A,Modern
29,Innovative asynchronous firmware,P000029,5,185,Social here recognize understand on build floor challenge. Thousand whole including land business month official product. Focus room difficult enough fast.,Silver,S,44.18,416.95,191.22,484.9,False,44,50,86,Standard,B,Sport
30,Reverse-engineered well-modulated moderator,P000030,5,56,"Set find law child mean trial. True history laugh per data. Could everyone clearly film thank possible.
Then seat drive thus cost agreement product. Goal brother nearly great deep however issue.",,S,17.32,741.33,332.66,946.54,False,48,694,75,Professional,C,Vintage
31,Re-engineered encompassing encoding,P000031,1,53,"Big difficult per respond hot big safe. Manager commercial data PM relationship.
Behind me red. School system reach color race coach forward.",White,L,38.39,57.51,27.48,77.05,False,23,335,15,Standard,B,Sport
32,Focused multi-tasking middleware,P000032,9,144,"Simple beyond sound friend. Same wrong either main hair add good.
Simple tax total other both rate rock. Challenge improve detail. Ground all officer receive.",Silver,S,19.91,190.41,91.97,263.05,False,32,19,58,Standard,B,Sport
33,Seamless bottom-line Internet solution,P000033,2,104,"Why society eye wide material rate letter. Model face newspaper class. Explain son administration American executive or apply.
Involve produce a. Case these size maybe when.",Red,XXL,8.68,740.63,288.83,938.44,False,34,851,88,Economy,A,Sport
34,Re-contextualized intermediate service-desk,P000034,9,21,Cause should economic indicate current figure father until. National heavy then join catch kind finish. Life into inside improve agree next.,Gold,XL,37.32,788.92,423.02,1053.64,False,15,78,65,Standard,C,Modern
35,Business-focused attitude-oriented approach,P000035,11,38,"Four best fact loss. Ten building once memory response reduce.
No whose carry time. Feeling financial writer according. Perhaps customer attack check they mind easy.",Black,S,7.41,917.77,453.43,1276.57,False,43,156,97,Standard,A,Sport
36,Seamless bottom-line Internet solution,P000036,11,145,"Continue stand price. Memory record customer lose.
Where manage property hospital. Less spend challenge exist.
Hope oil alone practice price know traditional. While life rich everybody word group.",Silver,XXL,7.63,550.42,234.66,733.04,True,33,646,38,Economy,C,Classic
37,Robust stable contingency,P000037,1,15,Simple moment can food western give pay. Attack ahead run discuss professor material. Food discuss sign true somebody black thing.,Silver,XL,3.93,288.76,179.21,370.97,False,10,629,76,Professional,B,Classic
38,Progressive content-based array,P000038,6,155,"Pick protect data. Throw growth impact national. Future radio whatever rock. Many strategy now list goal peace next.
Keep personal them notice. Site fear brother discover.",Brown,M,47.89,617.93,227.62,840.84,False,26,731,10,Premium,A,Modern
39,Virtual analyzing challenge,P000039,10,41,Stage form serious treatment artist management south. Toward reflect she along wonder wear our.,Silver,XXL,45.91,1061.01,355.27,1389.53,False,26,695,76,Standard,C,Vintage
40,Business-focused human-resource throughput,P000040,5,65,Involve interview case just. Work happy create job around discussion open dinner. Nothing yard address rest spend baby camera.,Green,XXL,4.17,61.78,37.63,84.72,False,27,317,83,Professional,A,Classic
41,Face-to-face leadingedge structure,P000041,3,172,"Sister fall president money environment recently. Bit get improve wear main bad treatment.
Figure need but right small. Within recognize practice. Well again student establish open feel whole.",,S,32.34,326.77,158.24,462.92,False,28,18,46,Economy,A,Modern
42,Quality-focused well-modulated hardware,P000042,3,40,Senior from stock energy send describe agree rise.,Blue,XL,42.24,461.39,174.16,542.96,False,39,855,94,Standard,C,Vintage
43,Seamless even-keeled hierarchy,P000043,3,42,"Site special part buy nothing. Structure summer kitchen admit across already.
Point news impact often bag today necessary. Key election skill employee. Camera piece chair peace anyone boy although.",Green,M,36.09,1065.01,438.81,1425.94,True,28,692,92,Premium,B,Vintage
44,Inverse object-oriented hub,P000044,4,80,"Politics then central force. Friend impact present likely wind perform. Happy fact change option.
Deep finish respond score situation require vote her. Allow risk high young bad back very different.",Brown,L,18.46,1009.89,377.43,1205.41,False,33,472,98,Economy,B,Sport
45,Open-source high-level artificial intelligence,P000045,3,65,Measure trip president painting large industry notice. Understand each training purpose. Painting somebody game brother.,Red,,43.72,1317.16,483.3,1871.03,False,11,728,66,Standard,B,Classic
46,Compatible clear-thinking migration,P000046,3,112,Toward great I news Republican budget. Option pattern yes and school great. Treat piece scientist job serious record safe.,Blue,L,40.85,730.72,382.74,1068.4,False,6,424,6,Professional,C,Vintage
47,Down-sized bottom-line forecast,P000047,1,82,"Keep those eye truth writer send under. Cell deal stuff senior agree.
Mrs crime major state hard example way.",Blue,XXL,39.59,364.13,121.71,455.15,False,23,939,60,Premium,C,Sport
48,Persevering responsive support,P000048,5,56,"Religious fire under item. Fish success produce there along play account. Only the detail cultural.
Machine cost market capital. Week tax see about. Make particularly report although.",Green,One Size,5.65,342.38,227.06,387.47,False,24,124,6,Premium,B,Sport
49,Implemented bandwidth-monitored definition,P000049,9,5,"Information language easy interesting computer. Produce girl huge campaign think style.
Include dog fact medical three situation article sign. Push in speak interesting end. Environmental rock fund.",,L,35.96,99.43,36.09,129.25,False,5,629,45,Premium,C,Sport
50,Customizable reciprocal pricing structure,P000050,6,18,"Painting after reveal sort. Sister four good she. Pressure million gun cup.
How responsibility face claim hear including need. Vote already after wait bill.",,XS,19.58,244.53,97.72,320.19,False,45,396,47,Economy,C,Classic
51,Object-based content-based portal,P000051,11,161,"Interesting sea few learn between wide. Likely fact behavior whom night low traditional.
Each admit market hour head national board. Official agent side language live. Poor forward special wish.",Blue,XXL,6.76,291.06,181.76,348.24,False,26,833,82,Premium,C,Sport
52,Team-oriented non-volatile policy,P000052,3,17,"Environmental decide none. Nation fine present focus remember method teach. Tv international back camera.
Mind building culture thank.",Brown,XS,14.74,1087.85,490.51,1275.95,True,17,907,5,Economy,B,Sport
53,Synergistic encompassing model,P000053,11,49,Threat nor coach face rate sort weight he. Economy leg view until result system career modern. Act indicate change attack with find could.,White,XXL,43.12,1144.82,494.62,1375.3,True,46,339,34,Standard,B,Sport
54,Integrated holistic process improvement,P000054,7,87,"Night political dark or bill. Evidence enjoy bill someone onto. Form sign option everyone southern the.
Collection situation writer before sound. Century little a back. Case southern international.",Green,,34.63,1164.44,445.3,1697.58,False,38,273,10,Professional,A,Sport
55,Synergized bottom-line open architecture,P000055,6,27,"Concern term talk side generation interest. Nice young vote him condition section action kind. Crime only foreign treat trouble me actually.
Positive politics huge. Ever arm occur air responsibility.",Blue,XXL,33.08,828.83,303.21,1092.56,False,43,734,54,Premium,C,Sport
56,Quality-focused even-keeled core,P000056,6,158,"Four public tonight. Town only want might. Indicate property article cover seven challenge. Base kitchen every cup measure.
Find night brother. Nothing recent not leg break bed role.",Gold,XL,32.01,279.9,179.02,405.3,False,8,76,85,Professional,B,Modern
57,Ergonomic value-added system engine,P000057,8,9,"Apply relationship concern cell firm. Structure evening current without else.
Begin great hair sign mission. Reach color wear one choose notice year its. Debate record mean stop some.",Green,S,11.88,817.02,476.63,1097.28,False,28,392,72,Standard,C,Modern
58,Automated fresh-thinking standardization,P000058,2,147,"Grow too city little from total cost group. Level control against speak.
Office itself human street education health full question. Always upon doctor various until. Inside similar west husband.",Green,XXL,19.96,997.23,341.14,1245.35,False,20,983,14,Standard,C,Modern
59,Progressive dedicated open system,P000059,5,199,"Professional small approach bed. Soon learn close a.
Third feeling ball door data. Right child new simply.
City beyond near hour defense line heavy.",White,,10.81,524.34,252.03,694.58,False,49,938,62,Premium,A,Modern
60,Profit-focused 24hour pricing structure,P000060,8,23,Trip population catch could deep itself. Himself conference character find push lose. When instead clear radio strong. South get run pretty identify southern claim.,Silver,XXL,35.51,930.36,427.15,1357.83,False,23,912,38,Premium,C,Modern
61,Phased transitional groupware,P000061,4,36,"Born condition interest service that bag. Front various opportunity. Method pass the itself let.
Test least anyone out.",Black,,1.41,900.46,397.88,1034.22,False,28,478,70,Premium,C,Classic
62,Digitized scalable methodology,P000062,8,135,"Generation leader pay try tough. Notice American force although participant rich speech. High woman bad until.
Husband contain section return sea bad. Whole soldier number yet past much.",Gold,One Size,41.18,78.75,37.55,109.21,True,25,657,9,Professional,B,Vintage
63,Enterprise-wide systematic forecast,P000063,10,47,"Imagine affect increase. Ever leg so play.
Different remember determine particularly rock. Step onto play forget home upon actually future.",Green,One Size,25.19,188.02,68.53,248.28,False,12,530,19,Economy,A,Modern
64,Persistent 4thgeneration collaboration,P000064,9,73,Coach goal it yet age wind news make. Heart Mrs her we but. Design yeah number condition city since. Nearly goal design too everything side.,Blue,XL,9.9,422.34,164.72,523.03,False,22,128,80,Economy,C,Classic
65,Operative incremental core,P000065,3,44,"Difference particular me ball number impact age particular.
Personal range weight age over smile hope. Tell sure claim hard themselves compare view.",Silver,XS,41.28,444.85,253.77,656.88,True,7,971,82,Economy,C,Modern
66,Managed cohesive encryption,P000066,8,161,"According allow quality term. Television audience indicate employee respond building since. Resource just still art speech stock rise.
Human until picture key skin billion.",,XL,32.13,817.31,384.64,1107.94,False,20,824,87,Professional,B,Sport
67,Versatile dynamic system engine,P000067,8,119,"Far know skin record nothing organization. Challenge eye determine he.
Fill respond nothing fight require. Child source campaign parent teacher. Pm agreement deep field once.",Black,XXL,30.37,65.38,41.12,83.41,False,50,326,93,Economy,B,Modern
68,Stand-alone composite moderator,P000068,4,120,Low here protect ask. Finally difference everything sing smile. Ground least tree trade style.,Blue,XL,22.53,867.02,381.53,990.55,False,8,297,49,Professional,A,Modern
69,Universal logistical conglomeration,P000069,4,196,"Entire everyone sea safe true town car few.
During seven local better think. Five plant cultural.
Bar culture my Democrat maintain notice. Involve toward result kind politics open play sense.",Green,,49.8,1182.5,407.67,1641.84,False,24,509,2,Standard,B,Sport
70,Profound executive project,P000070,1,73,"Test eat every night final. Born series consider according throw meeting.
Condition set pull behind. Garden reach state cover board discussion. Maybe floor most bill feel.",Brown,,14.36,881.3,483.51,1093.83,True,11,441,17,Economy,C,Vintage
71,Adaptive well-modulated initiative,P000071,10,144,"Government south window short affect region. Product eight strategy age into.
Newspaper school something pay key ever. During for look return. Weight water sit hope where religious economic.",Black,XXL,27.71,784.96,383.11,989.23,True,37,461,97,Economy,C,Classic
72,Visionary zero administration architecture,P000072,6,143,Toward knowledge this contain life leave. Current will else page usually cell. Interview south something story art writer.,Silver,M,10.03,113.0,68.69,141.17,False,37,41,5,Standard,A,Vintage
73,Ergonomic web-enabled archive,P000073,9,36,Letter threat yes charge form. Possible fund month realize. Threat husband family perhaps hope across.,Silver,XXL,8.21,918.35,402.96,1064.9,False,24,607,43,Professional,C,Vintage
74,Public-key real-time analyzer,P000074,2,107,"Give attorney that up probably cut clear. Do turn sign agree there.
Street heart know season. Herself land human day herself. Behavior compare tree right.",White,XS,29.89,366.1,240.07,451.22,False,46,801,99,Premium,C,Classic
75,Persevering 3rdgeneration ability,P000075,10,199,"Hundred tax great watch student its. Director red practice special then. Week ever positive.
Cell eat north. Million cell like although. Sort term produce he increase church common view.",Gold,M,41.1,515.91,293.84,697.31,False,41,970,89,Standard,A,Classic
76,Assimilated full-range algorithm,P000076,4,106,"Same certain imagine. Help out modern citizen address today begin. Both little work task.
Care owner PM find light total. Follow music whatever protect. Local see system cultural.",,,43.65,475.24,223.31,601.27,False,8,722,17,Premium,C,Vintage
77,Triple-buffered maximized secured line,P000077,3,118,Might write entire tonight foreign hear certainly. Security son place. Woman add play structure down. Follow occur low gas pick stage.,,XXL,27.36,1106.72,499.07,1384.21,False,48,658,88,Economy,C,Sport
78,Multi-lateral interactive project,P000078,4,77,"Call dinner leader book nearly fast their.
Job worker bar term measure huge wait. Crime style develop admit safe government over.",White,L,34.54,187.3,100.17,247.84,False,35,357,71,Economy,B,Classic
79,Universal coherent moratorium,P000079,7,89,Teach everything where we fast too. Throw life carry visit a edge. Property decade safe order at sense cell. State share southern week drug skill position.,Green,XL,2.2,668.67,288.87,975.12,False,10,354,56,Economy,C,Sport
80,Focused stable intranet,P000080,9,179,Must particular child they. Themselves we American study eight phone.,White,M,5.55,304.13,110.92,367.53,False,20,248,6,Premium,C,Modern
81,Synchronized eco-centric help-desk,P000081,2,175,"Big south drug. Determine its entire young step maintain parent.
Parent that property among blue study. Offer brother shake guess. Instead hour season girl small system of mission.",Green,XS,48.23,65.68,30.98,91.09,False,15,416,83,Professional,B,Modern
82,Visionary cohesive database,P000082,1,197,Possible scientist send sit common matter become. Pattern science structure dinner stock big. Police fine market control.,Blue,L,26.8,732.15,379.18,888.95,False,7,935,22,Professional,A,Classic
83,Cross-group transitional policy,P000083,12,75,"Certainly future government card history. Party wife food different step. Nature property event manager street.
Themselves key specific certainly father. Tax low keep.",Red,XS,14.99,1044.81,498.6,1356.32,False,26,291,58,Professional,A,Sport
84,Total dynamic utilization,P000084,12,118,"Can wonder six medical little finish southern page. Response population never world let off. Least just opportunity.
Against large practice time. Test challenge radio assume rest now water.",White,M,0.8,379.99,140.05,468.25,False,23,581,86,Premium,A,Sport
85,Managed discrete open system,P000085,11,25,Certain much race fire according participant. Onto simple audience as including claim. Eat own serve conference Congress.,Green,M,23.92,941.81,414.36,1068.67,False,5,267,49,Premium,B,Vintage
86,Open-architected dedicated emulation,P000086,1,67,Fund sell model after. Article news radio believe ability world actually force. Agree toward nor teacher western.,Silver,L,3.2,932.03,477.25,1294.73,False,24,163,51,Economy,C,Classic
87,Automated national utilization,P000087,4,57,Various blue raise operation cold. Marriage page young turn.,Green,,7.74,934.88,321.16,1165.81,False,43,382,53,Professional,C,Modern
88,Quality-focused secondary customer loyalty,P000088,2,135,"Career shake fall phone identify help. Agency bit night participant fill yeah side.
Story could become throughout security number community. School move another field could who.",Brown,XXL,4.0,963.14,382.12,1289.0,False,8,848,70,Premium,C,Modern
89,Cross-platform logistical contingency,P000089,11,53,"Authority data deal policy administration two. Too break fact toward process.
Would step head study. Choose out perform. Think institution now tell phone.",Brown,S,44.95,240.48,86.45,307.03,False,8,464,16,Professional,B,Classic
90,Total zero administration knowledge user,P000090,1,102,"Audience boy city social at. Force want either race us huge movie.
End set house those dark beat suffer. Camera yet light body director.",White,XS,37.32,706.58,281.6,864.34,False,7,433,44,Standard,C,Classic
91,Function-based context-sensitive hardware,P000091,1,74,Top argue herself water measure. Contain create price keep the. Successful own explain claim.,Gold,M,38.47,749.84,467.62,1104.9,False,46,986,53,Economy,B,Sport
92,Streamlined methodical orchestration,P000092,11,170,"Rate hit travel down make. Generation write lawyer try check. These difference expert room white home either.
Science it feel amount improve they. Would by phone decade image.",,M,32.71,1245.48,435.46,1557.17,False,16,550,50,Premium,C,Modern
93,Quality-focused solution-oriented knowledge user,P000093,8,173,"Include current front three process view it wall. Really history project.
Shoulder political offer song character first early. Several main particular shake.",,One Size,26.64,1101.76,418.24,1643.16,False,20,471,44,Premium,B,Modern
94,Distributed cohesive instruction set,P000094,11,108,"Travel important no pick record example summer. Wish professional chair knowledge sense.
List local short only write gun. Once consider thus wife water note.",Red,L,10.38,1213.61,469.02,1389.75,False,7,457,76,Standard,A,Classic
95,Ameliorated regional parallelism,P000095,1,36,"Half education message word. Majority town appear. Red enjoy you front evening.
Four all the unit. Same affect herself. Here along public recent friend sort table.",,XL,11.78,377.93,204.12,448.57,False,41,326,73,Economy,A,Vintage
96,Enhanced holistic architecture,P000096,7,77,"Soon single tell act add southern thank. Audience old whole wide piece former professor partner.
Current second ball begin. About social do anyone.",White,XS,27.88,1306.84,438.75,1710.0,False,16,641,86,Professional,C,Sport
97,Organic contextually-based middleware,P000097,7,135,"Compare culture century my.
Reflect away cost focus. Class play or own media.
Interview station save most pressure. Example claim article management total.",Silver,One Size,20.47,56.89,28.21,77.22,False,16,772,68,Professional,A,Modern
98,Multi-channeled value-added workforce,P000098,1,144,"Matter shake finish yourself couple onto. Real important they. Type suffer win less tonight laugh.
Information agency cause first wrong place. Hand its stage town character watch.",Gold,One Size,27.91,394.09,153.86,560.52,False,20,261,26,Economy,C,Classic
99,Optional intermediate complexity,P000099,12,49,Government black well relationship. Eye dog wall sound indicate actually final city. Financial peace particularly out morning game health read.,Red,XL,18.92,1278.68,461.5,1453.84,False,7,894,9,Premium,C,Modern
100,Grass-roots next generation Graphical User Interface,P000100,1,55,"Recognize top whole sit occur treat. Participant spend eat none three finish thing his. Perhaps ball make owner.
Last since social everybody. Hair sing listen development.",Black,S,37.37,679.46,242.3,837.9,False,20,712,77,Premium,B,Modern
101,Intuitive real-time monitoring,P000101,9,167,"Whatever our build safe save. Model mean eat heavy red.
End century agent prepare several.
Let travel challenge personal new order. Blue event every relationship law clear.",Silver,XL,13.15,741.14,278.28,928.1,False,36,477,12,Professional,B,Modern
102,Automated secondary forecast,P000102,4,190,Series always memory reveal require market until. Charge mission vote dog. Win full include seem manage nation.,Green,XS,13.11,399.79,188.5,529.73,False,42,737,53,Economy,A,Modern
103,Devolved motivating functionalities,P000103,8,141,"Series prove affect she man prove. Nearly always operation decade old according. Ok happy together clearly.
Movie trip season example. Hear home strong senior eight cultural today.",Silver,XL,38.19,348.3,168.28,499.23,False,46,757,62,Professional,A,Vintage
104,Stand-alone responsive emulation,P000104,9,165,"Describe agency actually stop team. Matter result result leader hospital. Tv lose others some.
Pattern this system people. Water us field.",Red,XS,41.97,229.12,88.79,296.79,True,47,49,97,Standard,B,Modern
105,Sharable value-added software,P000105,1,56,"Company both right lay though reason event.
Look rule check assume question air market.",,,18.72,779.61,422.06,1078.1,False,47,956,78,Professional,C,Sport
106,Optional next generation standardization,P000106,1,136,Resource score expert because happen. Name health top risk must fly police. Community I level girl factor sport.,White,XL,0.96,29.4,12.79,37.18,False,48,440,22,Standard,A,Modern
107,Object-based attitude-oriented instruction set,P000107,6,69,Name mind offer effort nearly walk science. Major for student health view mission.,Gold,S,18.72,301.96,124.28,362.64,False,41,249,89,Premium,B,Classic
108,Cross-platform content-based algorithm,P000108,2,104,"Fast debate still.
Effect week instead group. Action our gas heart field people.",Gold,One Size,27.68,915.92,328.6,1285.8,True,5,719,21,Standard,B,Sport
109,Up-sized transitional product,P000109,2,136,"Here front page light follow need region. Describe improve act campaign television sit very.
Maybe leg recent hold. President any one recently make total fall. Always over interview rather.",Red,L,10.65,647.46,324.23,965.32,False,41,486,34,Standard,A,Vintage
110,Synergized optimal methodology,P000110,6,5,"Space way break clearly car without. None just happen recognize after modern really play.
List everything newspaper institution assume enjoy. Listen medical during until case agency.",Black,M,37.64,1055.74,450.16,1175.21,False,30,951,9,Economy,A,Modern
111,Innovative client-driven synergy,P000111,9,85,Head member activity. Program one across they case TV team. Country listen long between hold.,Gold,M,39.55,792.05,285.51,1085.75,False,10,512,95,Economy,A,Classic
112,User-friendly clear-thinking matrices,P000112,10,153,Thousand position sense church out explain significant. Outside individual no relate since significant. Hard hotel let. Field movement force final way memory.,Gold,XXL,1.58,610.51,221.36,754.74,False,33,502,29,Economy,C,Sport
113,Programmable systematic installation,P000113,2,198,"Our prove could party skin. Couple rather Republican need daughter.
Minute bring reveal factor east our plant front. Heart hot response usually learn game effort. Education whom spend worker.",White,L,35.68,551.18,218.76,751.96,True,14,389,91,Premium,C,Sport
114,Reactive optimal focus group,P000114,5,114,Inside enter word physical majority blue join. Budget Congress guess soon approach suggest. Blue movement camera benefit sea.,Silver,XL,5.2,268.49,161.76,295.9,True,32,459,71,Professional,A,Classic
115,Networked demand-driven moratorium,P000115,6,99,West before science. Special buy east image drug. Close community detail blue draw final often outside. Land discussion suggest impact know character.,Red,XL,20.75,115.07,49.36,154.05,False,40,926,31,Premium,C,Sport
116,Multi-channeled impactful focus group,P000116,3,17,"Together here there whether rather. During recently laugh son home generation herself.
Right training become effort direction hand. Long collection table population out. Suffer without hair set bed.",Green,One Size,13.87,169.21,88.9,204.3,False,9,369,32,Premium,C,Sport
117,Focused incremental function,P000117,5,2,"At the per of situation the term. Explain like institution collection.
Owner baby significant especially situation.",Gold,XXL,42.1,536.08,298.93,612.63,False,26,450,42,Professional,C,Modern
118,Multi-layered object-oriented toolset,P000118,8,81,"Early compare body eat policy senior attack. Career expert more majority senior nearly.
Level positive mind skill officer study if. Model imagine me matter source. Available yes success break tough.",Green,One Size,48.44,369.67,153.72,509.45,False,49,648,62,Premium,B,Sport
119,Open-architected maximized structure,P000119,10,52,"Think leg indeed anything way today. Far apply let hit. Back family start necessary American wonder.
Good cover two coach. Certainly represent especially agency. Piece he large free party.",,M,34.12,385.08,143.75,479.81,False,34,965,90,Premium,B,Vintage
120,Grass-roots hybrid definition,P000120,7,173,"Field well create.
Individual stay charge natural effort. A at teach enter lot. Despite trip close pull.
Prove speech garden road. Sure western election next threat sport.",Brown,M,31.7,667.92,416.48,961.21,False,47,157,91,Professional,B,Classic
121,Realigned directional toolset,P000121,9,130,"Less check better my guy. Information former ball class loss up.
Unit arm image it increase within. Visit brother dog these man when.",Gold,XS,39.56,544.79,227.29,726.15,False,39,608,81,Standard,A,Modern
122,Business-focused 24hour leverage,P000122,1,145,"Card worker happen. Program beautiful close finally beyond you.
Pass start court. Today station make environment.",Gold,XXL,48.29,671.77,330.51,912.8,False,5,100,33,Premium,C,Modern
